trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
R2+0+S1+1,7:07:00,7:07:00,S20,1,富士見橋エコー広場館行,0,1
R2+0+S1+1,7:10:00,7:10:00,S21,2,富士見橋エコー広場館行,0,0
R2+0+S1+1,7:12:00,7:12:00,S22,3,富士見橋エコー広場館行,0,0
R2+0+S1+1,7:13:00,7:13:00,S23,4,富士見橋エコー広場館行,0,0
R2+0+S1+1,7:15:00,7:15:00,S24,5,富士見橋エコー広場館行,0,0
R2+0+S1+1,7:17:00,7:17:00,S25,6,富士見橋エコー広場館行,0,0
R2+0+S1+1,7:18:00,7:18:00,S26,7,富士見橋エコー広場館行,0,0
R2+0+S1+1,7:19:00,7:19:00,S27,8,ＪＲ駒込駅行,0,0
R2+0+S1+1,7:20:00,7:20:00,S28,9,ＪＲ駒込駅行,0,0
R2+0+S1+1,7:20:00,7:20:00,S29,10,ＪＲ駒込駅行,0,0
R2+0+S1+1,7:21:00,7:21:00,S30,11,ＪＲ駒込駅行,0,0
R2+0+S1+1,7:22:00,7:22:00,S16,12,ＪＲ駒込駅行,0,0
R2+0+S1+1,7:22:00,7:22:00,S18,13,ＪＲ駒込駅行,0,0
R2+0+S1+1,7:27:00,7:27:00,S20,14,ＪＲ駒込駅行,1,0
R2+0+S1+2,7:27:00,7:27:00,S20,1,富士見橋エコー広場館行,0,1
R2+0+S1+2,7:30:00,7:30:00,S21,2,富士見橋エコー広場館行,0,0
R2+0+S1+2,7:32:00,7:32:00,S22,3,富士見橋エコー広場館行,0,0
R2+0+S1+2,7:33:00,7:33:00,S23,4,富士見橋エコー広場館行,0,0
R2+0+S1+2,7:35:00,7:35:00,S24,5,富士見橋エコー広場館行,0,0
R2+0+S1+2,7:37:00,7:37:00,S25,6,富士見橋エコー広場館行,0,0
R2+0+S1+2,7:38:00,7:38:00,S26,7,富士見橋エコー広場館行,0,0
R2+0+S1+2,7:39:00,7:39:00,S27,8,ＪＲ駒込駅行,0,0
R2+0+S1+2,7:40:00,7:40:00,S28,9,ＪＲ駒込駅行,0,0
R2+0+S1+2,7:40:00,7:40:00,S29,10,ＪＲ駒込駅行,0,0
R2+0+S1+2,7:41:00,7:41:00,S30,11,ＪＲ駒込駅行,0,0
R2+0+S1+2,7:42:00,7:42:00,S16,12,ＪＲ駒込駅行,0,0
R2+0+S1+2,7:42:00,7:42:00,S18,13,ＪＲ駒込駅行,0,0
R2+0+S1+2,7:47:00,7:47:00,S20,14,ＪＲ駒込駅行,1,0
R2+0+S1+3,7:47:00,7:47:00,S20,1,富士見橋エコー広場館行,0,1
R2+0+S1+3,7:50:00,7:50:00,S21,2,富士見橋エコー広場館行,0,0
R2+0+S1+3,7:52:00,7:52:00,S22,3,富士見橋エコー広場館行,0,0
R2+0+S1+3,7:53:00,7:53:00,S23,4,富士見橋エコー広場館行,0,0
R2+0+S1+3,7:55:00,7:55:00,S24,5,富士見橋エコー広場館行,0,0
R2+0+S1+3,7:57:00,7:57:00,S25,6,富士見橋エコー広場館行,0,0
R2+0+S1+3,7:58:00,7:58:00,S26,7,富士見橋エコー広場館行,0,0
R2+0+S1+3,7:59:00,7:59:00,S27,8,ＪＲ駒込駅行,0,0
R2+0+S1+3,8:00:00,8:00:00,S28,9,ＪＲ駒込駅行,0,0
R2+0+S1+3,8:00:00,8:00:00,S29,10,ＪＲ駒込駅行,0,0
R2+0+S1+3,8:01:00,8:01:00,S30,11,ＪＲ駒込駅行,0,0
R2+0+S1+3,8:02:00,8:02:00,S16,12,ＪＲ駒込駅行,0,0
R2+0+S1+3,8:02:00,8:02:00,S18,13,ＪＲ駒込駅行,0,0
R2+0+S1+3,8:07:00,8:07:00,S20,14,ＪＲ駒込駅行,1,0
R2+0+S1+4,8:07:00,8:07:00,S20,1,富士見橋エコー広場館行,0,1
R2+0+S1+4,8:10:00,8:10:00,S21,2,富士見橋エコー広場館行,0,0
R2+0+S1+4,8:12:00,8:12:00,S22,3,富士見橋エコー広場館行,0,0
R2+0+S1+4,8:13:00,8:13:00,S23,4,富士見橋エコー広場館行,0,0
R2+0+S1+4,8:15:00,8:15:00,S24,5,富士見橋エコー広場館行,0,0
R2+0+S1+4,8:17:00,8:17:00,S25,6,富士見橋エコー広場館行,0,0
R2+0+S1+4,8:18:00,8:18:00,S26,7,富士見橋エコー広場館行,0,0
