table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ja,ＪＲ王子駅,,ＪＲ王子駅
stops,stop_name,ja-Hrkt,ジェイアールオウジエキ,,ＪＲ王子駅
stops,stop_name,ja,王子本町交番,,王子本町交番
stops,stop_name,ja-Hrkt,オウジホンチョウコウバン,,王子本町交番
stops,stop_name,ja,障害者福祉センター,,障害者福祉センター
stops,stop_name,ja-Hrkt,ショウガイシャフクシセンター,,障害者福祉センター
stops,stop_name,ja,中央図書館,,中央図書館
stops,stop_name,ja-Hrkt,チュウオウトショカン,,中央図書館
stops,stop_name,ja,王子アパート,,王子アパート
stops,stop_name,ja-Hrkt,オウジアパート,,王子アパート
stops,stop_name,ja,紅葉橋,,紅葉橋
stops,stop_name,ja-Hrkt,モミジバシ,,紅葉橋
stops,stop_name,ja,北区役所,,北区役所
stops,stop_name,ja-Hrkt,キタクヤクショ,,北区役所
stops,stop_name,ja,飛鳥山公園,,飛鳥山公園
stops,stop_name,ja-Hrkt,アスカヤマコウエン,,飛鳥山公園
stops,stop_name,ja,一里塚,,一里塚
stops,stop_name,ja-Hrkt,イチリヅカ,,一里塚
stops,stop_name,ja,花と森の東京病院,,花と森の東京病院
stops,stop_name,ja-Hrkt,ハナトモリノトウキョウビョウイン,,花と森の東京病院
stops,stop_name,ja,旧古河庭園,,旧古河庭園
stops,stop_name,ja-Hrkt,キュウフルカワテイエン,,旧古河庭園
stops,stop_name,ja,滝野川小学校,,滝野川小学校
stops,stop_name,ja-Hrkt,タキノガワショウガッコウ,,滝野川小学校
stops,stop_name,ja,霜降橋,,霜降橋
stops,stop_name,ja-Hrkt,シモフリバシ,,霜降橋
stops,stop_name,ja,ＪＲ駒込駅,,ＪＲ駒込駅
stops,stop_name,ja-Hrkt,ジェイアールコマゴメエキ,,ＪＲ駒込駅
stops,stop_name,ja,駒込一丁目,,駒込一丁目
stops,stop_name,ja-Hrkt,コマゴメイッチョウメ,,駒込一丁目
stops,stop_name,ja,田端三丁目,,田端三丁目
stops,stop_name,ja-Hrkt,タバタサンチョウメ,,田端三丁目
stops,stop_name,ja,田端区民センター,,田端区民センター
stops,stop_name,ja-Hrkt,タバタクミンセンター,,田端区民センター
stops,stop_name,ja,田端二丁目,,田端二丁目
stops,stop_name,ja-Hrkt,タバタニチョウメ,,田端二丁目
stops,stop_name,ja,ＪＲ田端駅,,ＪＲ田端駅
stops,stop_name,ja-Hrkt,ジェイアールタバタエキ,,ＪＲ田端駅
stops,stop_name,ja,田端五丁目,,田端五丁目
stops,stop_name,ja-Hrkt,タバタゴチョウメ,,田端五丁目
stops,stop_name,ja,富士見橋エコー広場館,,富士見橋エコー広場館
stops,stop_name,ja-Hrkt,フジミバシエコーヒロバカン,,富士見橋エコー広場館
stops,stop_name,ja,中里保育園,,中里保育園
stops,stop_name,ja-Hrkt,ナカザトホイクエン,,中里保育園
stops,stop_name,ja,女子聖学院,,女子聖学院
stops,stop_name,ja-Hrkt,ジョシセイガクイン,,女子聖学院
stops,stop_name,ja,滝野川会館,,滝野川会館
stops,stop_name,ja-Hrkt,タキノガワカイカン,,滝野川会館
trips,trip_headsign,ja,ＪＲ駒込駅,,ＪＲ駒込駅
trips,trip_headsign,ja-Hrkt,ジェイアールコマゴメエキ,,ＪＲ駒込駅
trips,trip_headsign,ja,ＪＲ王子駅,,ＪＲ王子駅
trips,trip_headsign,ja-Hrkt,ジェイアールオウジエキ,,ＪＲ王子駅
