route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R2,S1,R2+0+S1+1,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+2,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+3,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+4,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+5,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+6,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+7,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+8,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+9,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+10,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+11,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+12,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+13,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+14,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+15,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+16,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+17,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+18,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+19,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+20,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+21,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+22,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+23,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+24,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+25,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+26,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+27,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+28,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+29,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+30,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+31,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+32,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+33,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+34,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+35,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+36,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+37,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+38,ＪＲ駒込駅,0,Block1,
R2,S1,R2+0+S1+39,ＪＲ駒込駅,0,Block1,
R1,S1,R1+0+S1+1,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+2,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+3,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+4,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+5,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+6,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+7,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+8,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+9,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+10,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+11,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+12,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+13,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+14,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+15,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+16,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+17,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+18,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+19,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+20,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+21,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+22,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+23,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+24,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+25,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+26,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+27,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+28,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+29,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+30,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+31,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+32,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+33,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+34,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+35,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+36,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+37,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+38,ＪＲ王子駅,0,Block3,
R1,S1,R1+0+S1+39,ＪＲ王子駅,0,Block2,
R1,S1,R1+0+S1+40,ＪＲ王子駅,0,Block3,
